,plateifus,gas best angle,gas error angle,stellar best angle,stellar error angle,delta PA
370,8244-12705,95.0,0.5,90.5,1.5,4.5
371,8440-3704,54.0,36.25000000000001,152.0,3.5,-98.0
372,8458-6102,162.5,0.5,149.0,17.0,13.5
373,9876-6104,119.5,0.5,119.5,29.75,0.0
374,8618-12702,123.5,0.5,67.0,0.5,56.5
375,9181-6102,99.0,0.5,133.5,14.75,-34.5
376,8713-3704,98.5,0.5,70.5,18.75,28.0
377,8553-12701,125.0,0.5,139.0,1.5,-14.0
378,8483-3704,18.0,0.75,24.5,5.5,-6.5
379,8483-12702,70.0,0.5,119.0,14.5,-49.0
380,8612-3702,85.5,0.5,32.5,15.75,53.0
381,8612-9102,53.5,0.5,47.0,7.0,6.5
